"","label","estimate","age_variable","age"
"1","Respondent was hostile",0.10231295421189,"coarsened_age_35","Younger interviewer on older respondents"
"2","Respondent was hostile",-0.126336445386437,"coarsened_age_35","Older interviewer on younger respondents"
"3","Respondent was uncooperative",0.0435823922256008,"coarsened_age_35","Younger interviewer on older respondents"
"4","Respondent was uncooperative",-0.0747041015048607,"coarsened_age_35","Older interviewer on younger respondents"
"5","Respondent was impatient",0.137267266586672,"coarsened_age_35","Younger interviewer on older respondents"
"6","Respondent was impatient",-0.154975829560227,"coarsened_age_35","Older interviewer on younger respondents"
"7","Respondent was suspicious",0.14705027554,"coarsened_age_35","Younger interviewer on older respondents"
"8","Respondent was suspicious",-0.149092054387193,"coarsened_age_35","Older interviewer on younger respondents"
"9","Exposure to vote buying",0.125309447715431,"coarsened_age_35","Younger interviewer on older respondents"
"10","Exposure to vote buying",-0.0941490996877378,"coarsened_age_35","Older interviewer on younger respondents"
"11","Knows MP's name",-0.0267919067245459,"coarsened_age_35","Younger interviewer on older respondents"
"12","Knows MP's name",0.0512703561599341,"coarsened_age_35","Older interviewer on younger respondents"
"13","Approval of president's performance",-0.0208972293371529,"coarsened_age_35","Younger interviewer on older respondents"
"14","Approval of president's performance",0.0534295435374266,"coarsened_age_35","Older interviewer on younger respondents"
"15","Attendance at community meetings",0.0597726167393804,"coarsened_age_35","Younger interviewer on older respondents"
"16","Attendance at community meetings",0.0811957263320759,"coarsened_age_35","Older interviewer on younger respondents"
"17","Interest in public affairs",-0.0606475616080265,"coarsened_age_35","Younger interviewer on older respondents"
"18","Interest in public affairs",0.126108495950982,"coarsened_age_35","Older interviewer on younger respondents"
"19","Preference for democracy",-0.0560000203502581,"coarsened_age_35","Younger interviewer on older respondents"
"20","Preference for democracy",0.146535444282423,"coarsened_age_35","Older interviewer on younger respondents"
"21","Distrust in opposition parties",0.0996932616537857,"coarsened_age_35","Younger interviewer on older respondents"
"22","Distrust in opposition parties",-0.0823822353580217,"coarsened_age_35","Older interviewer on younger respondents"
"23","Trust in ruling party",0.0154096938264449,"coarsened_age_35","Younger interviewer on older respondents"
"24","Trust in ruling party",0.0607732737916039,"coarsened_age_35","Older interviewer on younger respondents"
"25","Voted in last national election",-0.0414654404211199,"coarsened_age_35","Younger interviewer on older respondents"
"26","Voted in last national election",0.0200276820462528,"coarsened_age_35","Older interviewer on younger respondents"
"27","Own present living conditions good",0.0722323769666425,"coarsened_age_35","Younger interviewer on older respondents"
"28","Own present living conditions good",-0.119162989551738,"coarsened_age_35","Older interviewer on younger respondents"
"29","Has always had enough food",0.0316160078380718,"coarsened_age_35","Younger interviewer on older respondents"
"30","Has always had enough food",-0.0357537717890282,"coarsened_age_35","Older interviewer on younger respondents"
"31","Has always had cash income",0.0311061109183578,"coarsened_age_35","Younger interviewer on older respondents"
"32","Has always had cash income",-0.108320162204444,"coarsened_age_35","Older interviewer on younger respondents"
"33","Has always had clean water",-0.0140057996966116,"coarsened_age_35","Younger interviewer on older respondents"
"34","Has always had clean water",-0.0630410529568417,"coarsened_age_35","Older interviewer on younger respondents"
